,body,cleaned,polarity,sentiment,word_count,avg_length,review_len
10,"The speaker was larger than I thought it would be, a bit chunky but not too heavy. It doesn't move about, because it's nicely weighted, even if played at full volume though I believe 50-60% volume would be enough for most people. The sound is very good indeed. The Bollywood and dance songs play great and even the rock and metal songs are enjoyable. The bass is not very heavy but the sound seems weighted nice for bass heavy songs. Alexa makes it so easy to do so many things, especially if you have smart appliances and lights and all at home which are compatible. Sone things I find enjoyable are asking Alexa to turn on the tv via my smart plug and play a particular show on the fire tv stick and by the time I get to the living room everything's on and the show's about to start. You can even use it to call your family to dinner if you have two or more echo speakers. Some privacy issues are there but it's up to you how comfortable you are giving up some for the convenience it provides. Playing music, the news, weather updates, traffic updates, reading your Kindle library books to you, the possibilities are endless. Spotify too is very nicely integrated with Alexa. The only downside is that the Google feud means there's no YouTube or YouTube music support officially and you have to run through some hoops to get it working (P.S. look up Paul Hibbert on YouTube [oh the irony]). P.P.S.-Amit Bachchan's voice is now available via Amitji keyword but unfortunately you have to pay extra for it :)",the speaker was larger than i thought it would be a bit chunky but not too heavy it does not move about because it is nicely weighted even if played at full volume though i believe volume would be enough for most people the sound is very good indeed the bollywood and dance songs play great and even the rock and metal songs are enjoyable the bass is not very heavy but the sound seems weighted nice for bass heavy songs alexa makes it so easy to do so many things especially if you have smart appliances and lights and all at home which are compatible sone things i find enjoyable are asking alexa to turn on the tv via my smart plug and play a particular show on the fire tv stick and by the time i get to the living room everything is on and the show is about to start you can even use it to call your family to dinner if you have two or more echo speakers some privacy issues are there but it is up to you how comfortable you are giving up some for the convenience it provides playing music the news weather updates traffic updates reading your kindle library books to you the possibilities are endless spotify too is very nicely integrated with alexa the only downside is that the google feud means there is no youtube or youtube music support officially and you have to run through some hoops to get it working p s look up paul hibbert on youtube oh the irony p p s amit bachchan is voice is now available via amitji keyword but unfortunately you have to pay extra for it ,0.2555,positive,285,4.185964912280702,1514
11,"It’s an amazing product to have, especially the integration with your google calendar and tons of skills to play around with. Though hoping there will be more better software updates, butIt’s a bang on product for the price. Bought wipro bulb and echo dot together for 2449Rs and then returned the wipro bulb and got back 700Rs. So got the Alexa for just 1750Rs, which is truely a bang on for a smart assistant and a Bluetooth speaker ;)",it s an amazing product to have especially the integration with your google calendar and tons of skills to play around with though hoping there will be more better software updates butit s a bang on product for the price bought wipro bulb and echo dot together for rs and then returned the wipro bulb and got back rs so got the alexa for just rs which is truely a bang on for a smart assistant and a bluetooth speaker ,0.3092,positive,80,4.225,437
12,"I like Alexa and the features. But rated 3 due to the below facts.- No inbuilt battery. A big minus. In today's mobile world, you cannot enforce the device to be plugged in always.- No USB charging facility- Alexa app is horribly slow- The moment your wifi connection changes, it cannot detect. You need to reconfigure itPlus features- Device shape is great- Sound quality is superb- Voice response is awesome",i like alexa and the features but rated due to the below facts no inbuilt battery a big minus in today is mobile world you cannot enforce the device to be plugged in always no usb charging facility alexa app is horribly slow the moment your wifi connection changes it cannot detect you need to reconfigure itplus features device shape is great sound quality is superb voice response is awesome,0.3344,positive,70,4.628571428571429,410
13,"This device refused to set up because the Alexa app just didn't work on my mother's phone. I had bought this for her. I even tried signing out of the Alexa app on my phone and then tried logging into her account on my phone and as soon as I would log in, the app would go blank.I'm still confident that there is nothing wrong with the Echo device but there is a problem in the Alexa app. More specifically there is a problem with my mother's account on the Alexa app. Unfortunately there is no way to fix this or talk to any kind of customer support. Customer support is a chat bot which has a preset list of questions that you need to select. There is no way to get any support for the app.My suggestion would be to stay away from such 'dumb' smart speakers. Amazon US is very helpful, because the laws in  that country require them to be. Amazon in India sucks when it comes to Alexa app support, because there is no way to talk/ chat to someone who can check the account.Its strange that my worst purchase from Amazon is actually an Amazon product and not something sold by a listed seller.",this device refused to set up because the alexa app just did not work on my mother is phone i had bought this for her i even tried signing out of the alexa app on my phone and then tried logging into her account on my phone and as soon as i would log in the app would go blank i am still confident that there is nothing wrong with the echo device but there is a problem in the alexa app more specifically there is a problem with my mother is account on the alexa app unfortunately there is no way to fix this or talk to any kind of customer support customer support is a chat bot which has a preset list of questions that you need to select there is no way to get any support for the app my suggestion would be to stay away from such wouldumb smart speakers amazon us is very helpful because the laws in that country require them to be amazon in india sucks when it comes to alexa app support because there is no way to talk chat to someone who can check the account its strange that my worst purchase from amazon is actually an amazon product and not something sold by a listed seller ,-0.0258,negative,216,4.027777777777778,1099
14,"The product has intermittent issue while connecting with Phone for playing videos sound.  Spoke with Amazon Tech support, they went ahead with raising replacement after some troubleshooting. Now, they picked the device. Though no replacement update.  Nothing in the app which indicates that the product has been picked up or replacement has been sent.Moreover the device itself dont have connectivity with ZOOM app and for calling  in India. Though the feature is available in other countries through Echo Connect feature.Hope they will sent the replacement.",the product has intermittent issue while connecting with phone for playing videos sound spoke with amazon tech support they went ahead with raising replacement after some troubleshooting now they picked the device though no replacement update nothing in the app which indicates that the product has been picked up or replacement has been sent moreover the device itself dont have connectivity with zoom app and for calling in india though the feature is available in other countries through echo connect feature hope they will sent the replacement ,0.225,positive,87,5.2988505747126435,555
15,"Alexa is horribly wrong and Dumb..I made a mistake by not buying google mini speaker..Alexa has no answers...It is a stupid speaker..I know u need to enable the skills and all that..However, it is still a very bad Assistant..Fully disssatisfied..Audio quality is good but one can buy a simple bluetooth speaker at 1/3rd the cost rather than messing ur mind up with such an incapable AI speaker.. It cannot answer 90% of your questions.Used with Fireststick: limited usage and that too with limited apps.Will still need the remote anyway. Not much useful with Firestick.I strongly suggest please Buy google home mini instead..Audio may be a bit less but the google assistant is amazing..",alexa is horribly wrong and dumb i made a mistake by not buying google mini speaker alexa has no answers it is a stupid speaker i know u need to enable the skills and all that however it is still a very bad assistant fully disssatisfied audio quality is good but one can buy a simple bluetooth speaker at rd the cost rather than messing ur mind up with such an incapable ai speaker it cannot answer of your questions used with fireststick limited usage and that too with limited apps will still need the remote anyway not much useful with firestick i strongly suggest please buy google home mini instead audio may be a bit less but the google assistant is amazing ,-0.1008,negative,123,4.3983739837398375,686
16,"We purchased Gen3.  The voice of assistance is too heavy. No equalizer settings.  App has a very poor design and functionality.  Sound of music is rich, but very poor in high frequency (treble), bass is good as per the size of speaker.  Overall, good to hear music.  AI is just okay, has very limited AI features, Mobile's Google voice is way more intelligent in answering questions.  Good for wakeup alarms and listening music.  Apps like spotify is very poor as opposed to Advertisement shown.  Youtube selects better song lists rather than Amazon's music or Spotify.  Gaana is still better, but way behind Youtube.  Crux: If you have a small and good quality speaker system, just pair with your mobile and it shall be better; more better if use an old phone as no sms & phones shall disturb.  These smart speakers are always listening (except for mute) ... always leaves me in doubt.",we purchased gen the voice of assistance is too heavy no equalizer settings app has a very poor design and functionality sound of music is rich but very poor in high frequency treble bass is good as per the size of speaker overall good to hear music ai is just okay has very limited ai features mobile is google voice is way more intelligent in answering questions good for wakeup alarms and listening music apps like spotify is very poor as opposed to advertisement shown youtube selects better song lists rather than amazon is music or spotify gaana is still better but way behind youtube crux if you have a small and good quality speaker system just pair with your mobile and it shall be better more better if use an old phone as no sms phones shall disturb these smart speakers are always listening except for mute always leaves me in doubt ,0.2191,positive,153,4.522875816993464,877
17,"Everytime I connect to the device it says playing from and mentions my device name. This comes at high volume as this volume can only be controlled through the device. But this doesn't end here. Alexa shouts playing from and my device name everytime. If I lock my system and re-login then it shouts this message. If I stay idle and don't move my mouse for 5 mins and then move it then I get this mesaage again. Sometimes it happens when I am playing videos as well. A video will be playing and suddenly Alexa shouts playing from and my device name. Unfortunately even though I tried many things to get rid of that, I wasn't able to get rid of this sound till now. When I connect to Alexa speaker for the first time it doesn't connect properly and it plays with breaking sounds. This happens many times and I have to keep disconnecting and connecting it back till it works properly. Overall it is a fine speaker but there are too many problems that I face everyday with it.",everytime i connect to the device it says playing from and mentions my device name this comes at high volume as this volume can only be controlled through the device but this does not end here alexa shouts playing from and my device name everytime if i lock my system and re login then it shouts this message if i stay idle and do not move my mouse for mins and then move it then i get this mesaage again sometimes it happens when i am playing videos as well a video will be playing and suddenly alexa shouts playing from and my device name unfortunately even though i tried many things to get rid of that i was not able to get rid of this sound till now when i connect to alexa speaker for the first time it does not connect properly and it plays with breaking sounds this happens many times and i have to keep disconnecting and connecting it back till it works properly overall it is a fine speaker but there are too many problems that i face everyday with it ,0.1184,positive,186,4.172043010752688,976
18,"In a word... Just fabulous...Not that much works in queries like Google. But GK level is quite good.For music it's outstanding.Voice recognition, sound quality, the LED ring ... All experiences are just awesome.Don't know about Home assistance, didn't try but didn't work to call or message on any number. Whom you are calling need to be added with your Alexa Profile. Of course you won't give access to outsiders. It's only use for family members only. So it's not useful that much.But After all these ifs & buts... Me & my family members like it very much..",in a word just fabulous not that much works in queries like google but gk level is quite good for music it is outstanding voice recognition sound quality the led ring all experiences are just awesome do not know about home assistance did not try but did not work to call or message on any number whom you are calling need to be added with your alexa profile of course you will not give access to outsiders it is only use for family members only so it is not useful that much but after all these ifs buts me my family members like it very much ,0.3191,positive,106,4.122641509433962,568
19,"I bought this as a productivity tool- during the pandemic while I drift between office work and housework, I need something to remind me of upcoming tasks or meetings.  It fails terribly due to lack of  thinking by the designers.1. This devise should require  a password or PIN or recognize the voice of the person before proceeding further.  It should not allow anyone to hijack your device- in my case my 7 year old, who keeps fiddling with the reminders  or moving it away from a central location to his room. ( don't tell me you can't do voice classification, then at least ask a PIN ). For me the device is useless now, as I may not even hear it and important reminders may get removed. 2. The India model at least has no working profanity filter, my son plans music with profanity and there is no way to restrict access.3. Searches sometimes fail miserably- it is not recognition, the problem is the content that is being searched for an answer.  Google's device is probably is stronger here with search results4. The reminders should  have an option to repeat till I turn it off by saying ""acknowledged' or 'done'",i bought this as a productivity tool during the pandemic while i drift between office work and housework i need something to remind me of upcoming tasks or meetings it fails terribly due to lack of thinking by the designers this devise should require a password or pin or recognize the voice of the person before proceeding further it should not allow anyone to hijack your device in my case my year old who keeps fiddling with the reminders or moving it away from a central location to his room do not tell me you can not do voice classification then at least ask a pin for me the device is useless now as i may not even hear it and important reminders may get removed the india model at least has no working profanity filter my son plans music with profanity and there is no way to restrict access searches sometimes fail miserably it is not recognition the problem is the content that is being searched for an answer google is device is probably is stronger here with search results the reminders should have an option to repeat till i turn it off by saying acknowledged or wouldone ,-0.1114,negative,199,4.457286432160804,1120
20,"Hi I am using this from the beginning and I have echo 3rd gen ordered from Amazon but nowadays when I uses it, it suddenly gets stop and nothing happens  I have to manually swith off and switch on to resolve the issue, and again it happens please do the needful to help me..",hi i am using this from the beginning and i have echo rd gen ordered from amazon but nowadays when i uses it it suddenly gets stop and nothing happens i have to manually swith off and switch on to resolve the issue and again it happens please do the needful to help me ,0.0,neutral,54,3.9814814814814814,273
21,"It is useless device and waste of money it only work with registered WiFi with amazon not with in coming signal of the Alexa app computer or mobile , no one else in the house can use it if registered WiFi is not available and at the same time we can not register two ,three signals . Alexa becomes use less when there is no internet , and there are lot of restrictions like hand free not available when in battery saver mode etc etc . at many a times it can not understand your voice and there are many app's missing in window computer .if i instruct it to teach Gramer to children it can not do . what a useless device it is , i even wanted to buy Fire TV stick but lots of them in used market ,hence i thought there must be some problem like this in that also hence stopped its purchase .My advice to Amazon is make it user friendly . do not restrict to one WiFi signal ,Take the in coming signal or allow us to register two ,three signal there should not restrict Hand free etc .With RegardsRavishankar",it is useless device and waste of money it only work with registered wifi with amazon not with in coming signal of the alexa app computer or mobile no one else in the house can use it if registered wifi is not available and at the same time we can not register two three signals alexa becomes use less when there is no internet and there are lot of restrictions like hand free not available when in battery saver mode etc etc at many a times it can not understand your voice and there are many app is missing in window computer if i instruct it to teach gramer to children it can not do what a useless device it is i even wanted to buy fire tv stick but lots of them in used market hence i thought there must be some problem like this in that also hence stopped its purchase my advice to amazon is make it user friendly do not restrict to one wifi signal take the in coming signal or allow us to register two three signal there should not restrict hand free etc with regardsravishankar,0.0149,positive,191,4.162303664921466,1006
22,"Excellent service provided by the device.. Only problem is with Eco dot 3rd generation device that it’s only launch an app but never plays a video, especially YouTube.. This feature is a very basic one and should be added with this device which will enhance the product services overall.. Please take it as a consideration. Also it should be connected to atleast 2 Firesticks or 2 TV’s in a single home.. This should be the minimum. I am very much sure, if these two features could be added with this device, it will enhance the overall service of the product and will reach to many other people in India and thus increase the sale of the product..",excellent service provided by the device only problem is with eco dot rd generation device that it s only launch an app but never plays a video especially youtube this feature is a very basic one and should be added with this device which will enhance the product services overall please take it as a consideration also it should be connected to atleast firesticks or tv s in a single home this should be the minimum i am very much sure if these two features could be added with this device it will enhance the overall service of the product and will reach to many other people in india and thus increase the sale of the product ,0.164,positive,117,4.3760683760683765,648
23,"Expensive, Smart speaker works only when plugged in. Bluetooth V2.0 is very old dur to this audio is very poor, sound becomes very low. No battery to support the speaker so if no power you cannot use the device. Sometimes while song change you hear a distorted sound. Not worth the purchase as Bluetooth quality in the speaker is bad. You need to shout then only Alexa can hear you - voice sensor is poor. On full volume Alexa will not recognise your command.",expensive smart speaker works only when plugged in bluetooth v is very old dur to this audio is very poor sound becomes very low no battery to support the speaker so if no power you cannot use the device sometimes while song change you hear a distorted sound not worth the purchase as bluetooth quality in the speaker is bad you need to shout then only alexa can hear you voice sensor is poor on full volume alexa will not recognise your command ,-0.0597,negative,83,4.373493975903615,459
24,"My only disappointment is that it does not have battery and when power goes off it dies.Sound quality is very good, good bass but not like woofer.It can be used as Bluetooth speaker. But not sure if Bluetooth earphones works with it. Will update about it later.",my only disappointment is that it does not have battery and when power goes off it dies sound quality is very good good bass but not like woofer it can be used as bluetooth speaker but not sure if bluetooth earphones works with it will update about it later ,0.1262,positive,49,4.26530612244898,261
25,"This review is especially for those sitting on the fence .I’ve been using Google Nest and minis and wanted to shift to Echo for its Drop in feature basically .(the full intercom) . It worked fine. But overall Alexa was disappointing. Even after having 4 mics the voice recognition was only a tad better than Google. The sound is natural but artificially natural, a little muffled as well.The app is poor. What takes less than a minute to setup on Google Home it takes over 3-4 minutes on alexa app. I have over 40 smart devices in my home and the time it needed merely setting up those devices was a bummer. Echo or Alexa is is just popular because Amazon sells it while Google devices are not marketed that much.",this review is especially for those sitting on the fence i ve been using google nest and minis and wanted to shift to echo for its drop in feature basically the full intercom it worked fine but overall alexa was disappointing even after having mics the voice recognition was only a tad better than google the sound is natural but artificially natural a little muffled as well the app is poor what takes less than a minute to setup on google home it takes over minutes on alexa app i have over smart devices in my home and the time it needed merely setting up those devices was a bummer echo or alexa is is just popular because amazon sells it while google devices are not marketed that much ,0.0604,positive,129,4.3565891472868215,713
26,"Better go for Google home..- cannnot make/accept phone calls (only Alexa calls)- cannot place orders on prime now- connected to Samsung smart TV via smart things skill and it can only do basic control like on/off,volume control.-technical customer care is not that good for any support issue.Free Wipro smart light isn't really smart..once power resumes after a power cut you need to switch it off again via app/Alexa.Only worthy use of echo is unlimited music from Amazon music.",better go for google home cannnot make accept phone calls only alexa calls cannot place orders on prime now connected to samsung smart tv via smart things skill and it can only do basic control like on off volume control technical customer care is not that good for any support issue free wipro smart light is not really smart once power resumes after a power cut you need to switch it off again via app alexa only worthy use of echo is unlimited music from amazon music ,0.2049,positive,87,4.413793103448276,480
27,"I was very excited about this purchase and very happy that I got delivered one day advanced and I tried setting up Alexa but ended up unsuccessful for almost 6 hours. Then decided to call Customer service I requested for call back on 7.05pm evening and I call from them on 7.06pm which was amazing and prompt service. The Agent whom I spoke to was Mr. Sami, he was so polite, professional and spoke to for 45 minutes and finally came to know by the agent that the product which I got was reported as stolen or missing product, So that is why I couldn't complete the set up process. I was completely surprised & confused that how come a very big firm like Amazon can deliver a stolen product to their customers and the agent managed to replaceml the product and he gave me end to end service. I was happy with customers service not with Amazon service",i was very excited about this purchase and very happy that i got delivered one day advanced and i tried setting up alexa but ended up unsuccessful for almost hours then decided to call customer service i requested for call back on pm evening and i call from them on pm which was amazing and prompt service the agent whom i spoke to was mr sami he was so polite professional and spoke to for minutes and finally came to know by the agent that the product which i got was reported as stolen or missing product so that is why i could not complete the set up process i was completely surprised confused that how come a very big firm like amazon can deliver a stolen product to their customers and the agent managed to replaceml the product and he gave me end to end service i was happy with customers service not with amazon service,0.1884,positive,157,4.280254777070064,851
28,"After 3 months here are the things which I found.Works better if you have connection of minimum 20 mbps.I have started to get few bugs or software issue.Alexa listens sometimes by itself and says, 'sorry, I don't know that.'Sometimes songs stops playing in middle by itself.It doesn't recognise voice even after activating it many times.After command it doesn't follow.Disconnects and reconnects network by itself.The sound has decreased, now at volume level 3 I can't hear music properly after 3 meters range. (Have same background noice of fan/Vehicles)Amazon please send a software update which solves these.Thanks!",after months here are the things which i found works better if you have connection of minimum mbps i have started to get few bugs or software issue alexa listens sometimes by itself and says isorry i do not know that sometimes songs stops playing in middle by itself it does not recognise voice even after activating it many times after command it does not follow disconnects and reconnects network by itself the sound has decreased now at volume level i can not hear music properly after meters range have same background noice of fan vehicles amazon please send a software update which solves these thanks ,0.1111,positive,106,4.735849056603773,623
29,"The Echo Dot 3rd Gen is comparatively good that than it's predecessor. The sound quality is improved, however there are two things that I would like to being to the notice of it's manufacturer or would say the developers rather. The bluetooth connectivity is no good. it's very difficult to connect to any other bluetooth device. Now coming to the main part of the Echo : voice recognition or rather would say it's integration. The Indian voice is a disaster. Half of the time you will have to repeat even for the simpler terms and words. Half disappointed, else it's good.",the echo dot rd gen is comparatively good that than it is predecessor the sound quality is improved however there are two things that i would like to being to the notice of it is manufacturer or would say the developers rather the bluetooth connectivity is no good it is very difficult to connect to any other bluetooth device now coming to the main part of the echo voice recognition or rather would say it is integration the indian voice is a disaster half of the time you will have to repeat even for the simpler terms and words half disappointed else it is good ,-0.0242,negative,105,4.390476190476191,578
